DATE,TOTAL_CASES,DEATHS
1-Mar-20,88585,3050
2-Mar-20,90443,3117
3-Mar-20,93016,3202
4-Mar-20,95314,3285
5-Mar-20,98425,3387
6-Mar-20,102050,3494
7-Mar-20,106099,3599
8-Mar-20,109991,3827
9-Mar-20,114381,4025
10-Mar-20,118948,4296
11-Mar-20,126214,4628
12-Mar-20,134576,4981
13-Mar-20,145483,5429
14-Mar-20,156653,5833
15-Mar-20,169593,6519
16-Mar-20,182490,7161
17-Mar-20,198238,7978
18-Mar-20,218822,8951
19-Mar-20,236877,9828
20-Mar-20,275111,11186
21-Mar-20,301100,12948
22-Mar-20,338259,14457
23-Mar-20,372253,16312
24-Mar-20,410465,18295
25-Mar-20,452601,20500
26-Mar-20,531865,24073
27-Mar-20,596366,27343
28-Mar-20,663127,30861
29-Mar-20,723390,34064
30-Mar-20,752747,36226
